place_name,category_group_name,category_name,x,y,road_address_name,place_url
장소이름:오공일,음식점,음식점 > 한식,경도:126.962055776988,위도:37.5588462164421,도로명주소:서울 중구 손기정로1길 38,웹링크:http://place.map.kakao.com/550581873
장소이름:마포대도소곱창,음식점,"음식점 > 한식 > 육류,고기 > 곱창,막창",경도:126.96226626169,위도:37.558900343723,도로명주소:서울 중구 손기정로1길 42,웹링크:http://place.map.kakao.com/27119857
장소이름:e문어세상 충정로직영점,음식점,"음식점 > 한식 > 해물,생선",경도:126.962433765954,위도:37.558900397137,도로명주소:서울 중구 손기정로1길 46,웹링크:http://place.map.kakao.com/166104597
장소이름:배스킨라빈스 만리센트럴점,음식점,음식점 > 간식 > 아이스크림 > 배스킨라빈스,경도:126.96250743606586,위도:37.551915887148894,도로명주소:서울 중구 만리재로 175,웹링크:http://place.map.kakao.com/960690898
장소이름:한우정육마당 충정로점,음식점,"음식점 > 한식 > 육류,고기",경도:126.96267481246046,위도:37.5589482264297,도로명주소:서울 중구 손기정로1길 50,웹링크:http://place.map.kakao.com/1536966308
장소이름:이디야커피 만리동고개점,음식점,음식점 > 카페 > 커피전문점 > 이디야커피,경도:126.96276763639736,위도:37.55208896112274,도로명주소:서울 중구 만리재로 175,웹링크:http://place.map.kakao.com/1039040428
장소이름:다코기 만리점,음식점,음식점 > 치킨,경도:126.962776716744,위도:37.5520349040988,도로명주소:서울 중구 만리재로 175,웹링크:http://place.map.kakao.com/221446583
장소이름:메가MGC커피 서울만리점,음식점,음식점 > 카페 > 커피전문점 > 메가MGC커피,경도:126.96285247770888,위도:37.55215926569699,도로명주소:서울 중구 만리재로 175,웹링크:http://place.map.kakao.com/1853524775
장소이름:스탠딩스테이크 공덕점,음식점,"음식점 > 양식 > 스테이크,립",경도:126.96294864316329,위도:37.55221515779402,도로명주소:서울 중구 만리재로 175,웹링크:http://place.map.kakao.com/148925726
장소이름:그린스미스,음식점,음식점 > 카페,경도:126.96297464917438,위도:37.55226111685411,도로명주소:서울 중구 만리재로 175,웹링크:http://place.map.kakao.com/1338179256
장소이름:본죽 만리점,음식점,음식점 > 한식 > 죽 > 본죽,경도:126.96301651262137,위도:37.55227914993556,도로명주소:서울 중구 만리재로 175,웹링크:http://place.map.kakao.com/2132333184
장소이름:신림동정통계란말이김밥 만리점,음식점,음식점 > 분식,경도:126.96301198944175,위도:37.55227194053407,도로명주소:서울 중구 만리재로 175,웹링크:http://place.map.kakao.com/80670124
장소이름:계림원 충정로역점,음식점,음식점 > 치킨 > 계림원,경도:126.96290002051148,위도:37.558983436295435,도로명주소:서울 중구 서소문로 8,웹링크:http://place.map.kakao.com/106101699
장소이름:치킨마루 충정로점,음식점,음식점 > 치킨 > 치킨마루,경도:126.962972456652,위도:37.5589798550461,도로명주소:서울 중구 서소문로 8,웹링크:http://place.map.kakao.com/17040816
장소이름:일품양평해장국 충정로역점,음식점,음식점 > 한식 > 해장국 > 일품양평해장국,경도:126.963339165281,위도:37.5589601475449,도로명주소:서울 중구 서소문로 12,웹링크:http://place.map.kakao.com/1588516379
장소이름:파더스김밥앤카페 충정로역점,음식점,음식점 > 분식,경도:126.963929960436,위도:37.5589549235288,도로명주소:서울 중구 중림로 2-1,웹링크:http://place.map.kakao.com/654749911
장소이름:중림떡집,음식점,"음식점 > 간식 > 떡,한과",경도:126.963941273089,위도:37.5589657389491,도로명주소:서울 중구 중림로 2-1,웹링크:http://place.map.kakao.com/10000874
장소이름:갈비정,음식점,"음식점 > 한식 > 육류,고기 > 갈비",경도:126.964126981118,위도:37.5587675761623,도로명주소:서울 중구 중림로4길 8,웹링크:http://place.map.kakao.com/684938424
장소이름:메가MGC커피 충정로역점,음식점,음식점 > 카페 > 커피전문점 > 메가MGC커피,경도:126.9642559041635,위도:37.55897754758139,도로명주소:서울 중구 중림로 10,웹링크:http://place.map.kakao.com/144774322
장소이름:파리바게뜨 충정로역점,음식점,"음식점 > 간식 > 제과,베이커리 > 파리바게뜨",경도:126.96428420743376,위도:37.5589595362053,도로명주소:서울 중구 중림로 10,웹링크:http://place.map.kakao.com/11225716
장소이름:가마솥닭 충정로점,음식점,음식점 > 치킨,경도:126.964357791152,위도:37.5589226175618,도로명주소:서울 중구 중림로 10,웹링크:http://place.map.kakao.com/1850990917
장소이름:서계동국수집,음식점,음식점 > 한식 > 국수,경도:126.964464514302,위도:37.5534499909929,도로명주소:서울 중구 만리재로 161,웹링크:http://place.map.kakao.com/214105461
장소이름:찐하오,음식점,음식점 > 중식 > 중국요리,경도:126.96444719753124,위도:37.55893255548536,도로명주소:서울 중구 중림로 10,웹링크:http://place.map.kakao.com/2042768685
장소이름:손큰할매순대국 충정로역점,음식점,음식점 > 한식 > 순대,경도:126.96448453663602,위도:37.55895328965549,도로명주소:서울 중구 중림로 10,웹링크:http://place.map.kakao.com/1674817063
장소이름:꽃과차소담,음식점,음식점 > 카페 > 테마카페,경도:126.964488794393,위도:37.5595209190592,도로명주소:서울 중구 서소문로 22,웹링크:http://place.map.kakao.com/21395772
장소이름:충정로호프,음식점,"음식점 > 술집 > 호프,요리주점",경도:126.964463892336,위도:37.5595263175487,도로명주소:서울 중구 서소문로 22,웹링크:http://place.map.kakao.com/1365799663
장소이름:킷사텐 서울역센트럴자이점,음식점,음식점 > 카페 > 테마카페 > 디저트카페,경도:126.964875135224,위도:37.5538492559177,도로명주소:서울 중구 만리재로 175,웹링크:http://place.map.kakao.com/1183373896
장소이름:고씨네메밀공방 서울역센트럴자이점,음식점,음식점 > 분식,경도:126.96483780490628,위도:37.55381500688845,도로명주소:서울 중구 만리재로 175,웹링크:http://place.map.kakao.com/1007856221
장소이름:역전할머니맥주 서울충정로역점,음식점,"음식점 > 술집 > 호프,요리주점 > 역전할머니맥주",경도:126.96477882569782,위도:37.55890111998188,도로명주소:서울 중구 중림로 10,웹링크:http://place.map.kakao.com/2839942
장소이름:김가네 충정로역점,음식점,음식점 > 분식 > 김가네,경도:126.964801466496,위도:37.55889031476881,도로명주소:서울 중구 중림로 10,웹링크:http://place.map.kakao.com/1875577725
장소이름:비진도해물뚝배기 충정로직영점,음식점,"음식점 > 한식 > 해물,생선",경도:126.96494619996427,위도:37.55917867688478,도로명주소:서울 중구 중림로 9-4,웹링크:http://place.map.kakao.com/25985434
장소이름:라면치레,음식점,음식점 > 분식,경도:126.964726630618,위도:37.559183116477,도로명주소:서울 중구 중림로 9-1,웹링크:http://place.map.kakao.com/311977985
장소이름:정원이네,음식점,음식점 > 한식 > 설렁탕,경도:126.964846619393,위도:37.5591426073966,도로명주소:서울 중구 중림로 11,웹링크:http://place.map.kakao.com/2000331216
장소이름:푸짐한포장마차,음식점,음식점 > 술집 > 실내포장마차,경도:126.96496658778928,위도:37.55914534604579,도로명주소:서울 중구 중림로 9-4,웹링크:http://place.map.kakao.com/15645448
