place_name,category_group_name,category_name,x,y,road_address_name,place_url
장소이름:동은여인숙,숙박,"여행 > 숙박 > 여관,모텔",경도:126.967763456277,위도:37.5560151772539,도로명주소:서울 중구 만리재로 207-10,웹링크:http://place.map.kakao.com/10284704
장소이름:호텔아트리움바비엥2,숙박,여행 > 숙박 > 호텔,경도:126.96788852899044,위도:37.56520988386736,도로명주소:서울 중구 통일로 114,웹링크:http://place.map.kakao.com/27507399
장소이름:바비엥스위트,숙박,여행 > 숙박 > 호텔,경도:126.968488793719,위도:37.5643369803049,도로명주소:서울 중구 통일로 102,웹링크:http://place.map.kakao.com/15214837
장소이름:K서울게스트하우스,숙박,여행 > 숙박 > 게스트하우스,경도:126.968676828212,위도:37.5585850674705,도로명주소:서울 중구 청파로 435-10,웹링크:http://place.map.kakao.com/1768902909
장소이름:프레이저플레이스 센트럴서울,숙박,여행 > 숙박 > 호텔,경도:126.96979003758572,위도:37.56253532765712,도로명주소:서울 중구 통일로 78,웹링크:http://place.map.kakao.com/10879960
장소이름:제이파크아일랜드,숙박,"여행 > 숙박 > 콘도,리조트",경도:126.970642761383,위도:37.5671630591305,도로명주소:서울 중구 정동길 17,웹링크:http://place.map.kakao.com/241952011
장소이름:라마다호텔앤스위트 서울남대문,숙박,여행 > 숙박 > 호텔 > 특급호텔 > 라마다호텔,경도:126.97188584385984,위도:37.56048878084385,도로명주소:서울 중구 칠패로 27,웹링크:http://place.map.kakao.com/12783363
장소이름:ENA스위트호텔,숙박,여행 > 숙박 > 호텔,경도:126.97389077525318,위도:37.56231015558714,도로명주소:서울 중구 세종대로11길 36,웹링크:http://place.map.kakao.com/1906769625
장소이름:원미닛게스트하우스,숙박,여행 > 숙박 > 게스트하우스,경도:126.974595209166,위도:37.5543734251115,도로명주소:서울 중구 후암로58길 13,웹링크:http://place.map.kakao.com/1362783646
장소이름:안전장모텔,숙박,"여행 > 숙박 > 여관,모텔",경도:126.974625512706,위도:37.5584567521816,도로명주소:서울 중구 세종대로2나길 21,웹링크:http://place.map.kakao.com/23993832
장소이름:호텔레스 서울,숙박,여행 > 숙박 > 호텔,경도:126.974487413858,위도:37.5585206932198,도로명주소:서울 중구 세종대로 24-1,웹링크:http://place.map.kakao.com/567318214
장소이름:서울역힐튼,숙박,"여행 > 숙박 > 여관,모텔",경도:126.974607409134,위도:37.5584423323349,도로명주소:서울 중구 세종대로2나길 21,웹링크:http://place.map.kakao.com/25815318
장소이름:밀레니엄힐튼 서울(22년12월31일 영업종료),숙박,여행 > 숙박 > 호텔 > 특급호텔 > 힐튼호텔,경도:126.9754866901112,위도:37.555326869140345,도로명주소:서울 중구 소월로 50,웹링크:http://place.map.kakao.com/23882610
장소이름:프레이저플레이스 남대문서울,숙박,여행 > 숙박 > 호텔,경도:126.976426385174,위도:37.5613763555678,도로명주소:서울 중구 세종대로 58,웹링크:http://place.map.kakao.com/25429712
장소이름:24게스트하우스 서울시청점,숙박,여행 > 숙박 > 게스트하우스,경도:126.976348366187,위도:37.5647136308635,도로명주소:서울 중구 덕수궁길 7,웹링크:http://place.map.kakao.com/27336166
장소이름:코리아나호텔,숙박,여행 > 숙박 > 호텔,경도:126.97663139666076,위도:37.56813837281585,도로명주소:서울 중구 세종대로 135,웹링크:http://place.map.kakao.com/23121414
장소이름:코트야드바이메리어트 서울남대문,숙박,여행 > 숙박 > 호텔 > 특급호텔 > 메리어트호텔,경도:126.976938008129,위도:37.5612503170701,도로명주소:서울 중구 남대문로 9,웹링크:http://place.map.kakao.com/821799963
장소이름:더블유에이치지코리아,숙박,여행 > 숙박 > 호텔,경도:126.976969592626,위도:37.5615963059728,도로명주소:서울 중구 세종대로12길 12,웹링크:http://place.map.kakao.com/1277229639
장소이름:호텔그레이스리 서울,숙박,여행 > 숙박 > 호텔,경도:126.9769107309752,위도:37.56161791839677,도로명주소:서울 중구 세종대로12길 12,웹링크:http://place.map.kakao.com/1330886736
장소이름:케이팝하우스,숙박,여행 > 숙박 > 게스트하우스,경도:126.977165733992,위도:37.5567886237909,도로명주소:서울 중구 퇴계로2길 20,웹링크:http://place.map.kakao.com/1102607934
장소이름:알프스모텔,숙박,"여행 > 숙박 > 여관,모텔",경도:126.977240642258,위도:37.5635316990976,도로명주소:서울 중구 세종대로16길 3,웹링크:http://place.map.kakao.com/12727949
장소이름:24게스트하우스 명동에비뉴점,숙박,여행 > 숙박 > 게스트하우스,경도:126.97769177530672,위도:37.561336957584444,도로명주소:서울 중구 남대문로1길 6,웹링크:http://place.map.kakao.com/24662056
장소이름:스타힐스호텔,숙박,"여행 > 숙박 > 여관,모텔",경도:126.977680414076,위도:37.5614811149117,도로명주소:서울 중구 남대문로1길 8-1,웹링크:http://place.map.kakao.com/735459590
장소이름:호텔8아워즈,숙박,여행 > 숙박 > 호텔,경도:126.978001677468,위도:37.5620758330026,도로명주소:서울 중구 남대문로1길 26-10,웹링크:http://place.map.kakao.com/26889256
장소이름:호텔아이린시티,숙박,여행 > 숙박 > 호텔,경도:126.977992622798,위도:37.5620758313152,도로명주소:서울 중구 남대문로1길 26-10,웹링크:http://place.map.kakao.com/8871739
장소이름:스타게스트하우스,숙박,여행 > 숙박 > 게스트하우스,경도:126.97799487984013,위도:37.562098356651155,도로명주소:서울 중구 남대문로1길 26-10,웹링크:http://place.map.kakao.com/124286732
장소이름:호텔피넛,숙박,"여행 > 숙박 > 여관,모텔",경도:126.9778160155889,위도:37.562214551740375,도로명주소:서울 중구 남대문로1길 26-8,웹링크:http://place.map.kakao.com/306360827
장소이름:스페이스아라,숙박,"여행 > 숙박 > 여관,모텔",경도:126.97796877787816,위도:37.56233531388717,도로명주소:서울 중구 남대문로1길 26-11,웹링크:http://place.map.kakao.com/1388692590
장소이름:호텔대우인,숙박,"여행 > 숙박 > 여관,모텔",경도:126.97786112745638,위도:37.56276056411788,도로명주소:서울 중구 세종대로14길 22-2,웹링크:http://place.map.kakao.com/16556621
장소이름:르서울호텔,숙박,여행 > 숙박 > 호텔,경도:126.977747742057,위도:37.5634362901449,도로명주소:서울 중구 남대문로1길 56,웹링크:http://place.map.kakao.com/1680077232
장소이름:호텔토마스 명동,숙박,여행 > 숙박 > 호텔,경도:126.97837600637706,위도:37.56314178105397,도로명주소:서울 중구 세종대로16길 26,웹링크:http://place.map.kakao.com/1549352295
장소이름:트레블로지 명동 시티홀 호텔,숙박,여행 > 숙박 > 호텔,경도:126.978078349656,위도:37.5630741514274,도로명주소:서울 중구 세종대로16길 22,웹링크:http://place.map.kakao.com/24065729
장소이름:더플라자호텔,숙박,여행 > 숙박 > 호텔 > 한화호텔,경도:126.97811069981492,위도:37.56469234685201,도로명주소:서울 중구 소공로 119,웹링크:http://place.map.kakao.com/7943752
장소이름:뉴서울호텔,숙박,여행 > 숙박 > 호텔,경도:126.9781765109669,위도:37.56801523213501,도로명주소:서울 중구 세종대로22길 16,웹링크:http://place.map.kakao.com/14562562
장소이름:JJ게스트하우스,숙박,여행 > 숙박 > 게스트하우스,경도:126.978532884301,위도:37.5568177121922,도로명주소:서울 중구 퇴계로6가길 10,웹링크:http://place.map.kakao.com/19071875
