title,keyword,X,Y,road_address,place_url
장소이름:광통교,관광명소,경도:126.9830323,위도:37.56858186,도로명주소:서울 중구 남대문로1가 14,웹링크:http://place.map.kakao.com/838786546
장소이름:광통관터,관광명소,경도:126.9830393,위도:37.56779619,도로명주소:서울 중구 남대문로1가 19,웹링크:http://place.map.kakao.com/8195106
장소이름:회동서관 터,관광명소,경도:126.9829305,위도:37.56833857,도로명주소:서울 중구 남대문로1가 48-6,웹링크:http://place.map.kakao.com/872248572
장소이름:염초청터,관광명소,경도:127.0017839,위도:37.56933449,도로명주소:서울 중구 방산동 4-24,웹링크:http://place.map.kakao.com/25027938
장소이름:성제묘,관광명소,경도:127.0018292,위도:37.5688029,도로명주소:서울 중구 방산동 4-96,웹링크:http://place.map.kakao.com/7951177
장소이름:찬양회와순성여학교설립결의터,관광명소,경도:126.9843173,위도:37.56772428,도로명주소:서울 중구 삼각동 117,웹링크:http://place.map.kakao.com/764541282
장소이름:한성부 남부관아터,관광명소,경도:126.9821105,위도:37.56589225,도로명주소:서울 중구 을지로1가 140-4,웹링크:http://place.map.kakao.com/774534068
장소이름:을지로타일상가,관광명소,경도:126.9889844,위도:37.56637332,도로명주소:서울 중구 을지로2가,웹링크:http://place.map.kakao.com/1635974981
장소이름:도화서터,관광명소,경도:126.9831551,위도:37.56642849,도로명주소:서울 중구 을지로2가 1-1,웹링크:http://place.map.kakao.com/755280497
장소이름:혜민서 터,관광명소,경도:126.9882849,위도:37.56628495,도로명주소:서울 중구 을지로2가 108-1,웹링크:http://place.map.kakao.com/25027948
장소이름:을지로노가리골목,관광명소,경도:126.9917914,위도:37.56719526,도로명주소:서울 중구 을지로3가 95-2,웹링크:http://place.map.kakao.com/716748422
장소이름:을지로가구거리,관광명소,경도:126.9982161,위도:37.56591251,도로명주소:서울 중구 을지로4가 188-6,웹링크:http://place.map.kakao.com/14982150
장소이름:국도극장 터,관광명소,경도:126.9962115,위도:37.56628547,도로명주소:서울 중구 을지로4가 310,웹링크:http://place.map.kakao.com/781259105
장소이름:문숙공 윤관장군동상,관광명소,경도:127.0041881,위도:37.56756488,도로명주소:서울 중구 을지로5가 40-3,웹링크:http://place.map.kakao.com/1160229068
장소이름:훈련원공원 휴게광장,관광명소,경도:127.0033912,위도:37.56740452,도로명주소:서울 중구 을지로5가 40-3,웹링크:http://place.map.kakao.com/704353196
장소이름:동대문패션타운,관광명소,경도:127.0086661,위도:37.56866204,도로명주소:서울 중구 을지로6가,웹링크:http://place.map.kakao.com/11582825
장소이름:청계천헌책방거리,관광명소,경도:127.0058906,위도:37.56944068,도로명주소:서울 중구 을지로6가 17,웹링크:http://place.map.kakao.com/25968113
장소이름:가산터,관광명소,경도:127.0063729,위도:37.56942984,도로명주소:서울 중구 을지로6가 17-50,웹링크:http://place.map.kakao.com/1155330134
장소이름:동대문관광안내소,관광명소,경도:127.0078418,위도:37.5665754,도로명주소:서울 중구 을지로6가 18-21,웹링크:http://place.map.kakao.com/9112907
장소이름:백호한국도자기,관광명소,경도:127.0074072,위도:37.56677364,도로명주소:서울 중구 을지로6가 18-21,웹링크:http://place.map.kakao.com/15371516
장소이름:훈련원터,관광명소,경도:127.0054785,위도:37.56771799,도로명주소:서울 중구 을지로6가 18-79,웹링크:http://place.map.kakao.com/882694843
장소이름:DDP잔디언덕,관광명소,경도:127.0096211,위도:37.566341,도로명주소:서울 중구 을지로7가 143,웹링크:http://place.map.kakao.com/2029420816
장소이름:동대문역사문화공원 서울성곽,관광명소,경도:127.0106038,위도:37.5677717,도로명주소:서울 중구 을지로7가 143,웹링크:http://place.map.kakao.com/27594552
장소이름:동대문역사문화공원 LED장미정원,관광명소,경도:127.0107787,위도:37.56786404,도로명주소:서울 중구 을지로7가 143,웹링크:http://place.map.kakao.com/1434665858
장소이름:동대문역사문화공원 이간수문,관광명소,경도:127.0103911,위도:37.56822222,도로명주소:서울 중구 을지로7가 2-1,웹링크:http://place.map.kakao.com/25071002
장소이름:을지한빛거리,관광명소,경도:126.985756,위도:37.56720549,도로명주소:서울 중구 장교동 1-6,웹링크:http://place.map.kakao.com/11635437
장소이름:청계천 베를린광장,관광명소,경도:126.9872093,위도:37.56778951,도로명주소:서울 중구 장교동 1-7,웹링크:http://place.map.kakao.com/25037441
장소이름:서울중앙시장 쌈밥골목,관광명소,경도:127.0197902,위도:37.56679384,도로명주소:서울 중구 황학동 409,웹링크:http://place.map.kakao.com/26611879
